#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
### TOOLTIPS ###
mta_IMPERIAL_DECAY_MINUS_5;§YImperial Decay§! will be §Greduced§! by 5\n;;;;;;;;;;;;;x
mta_HAS_AT_LEAST_1_DECAY;The §Y[Root.PrimaryTitle.GetFullName]§! has at least §R1§! §YImperial Decay§!\n;;;;;;;;;;;;;x
mta_debug_more_options_TT;View additional options;;;;;;;;;;;;;x

### DECISIONS ###
mta_enable_debug_cheats;§RDEBUG:§! Show Debug Cheats;;;;;;;;;;;;;x
mta_enable_debug_cheats_desc;Toggles debug cheat decisions on.;;;;;;;;;;;;;x
mta_enable_debug_cheats_all_MP;§RDEBUG§! §BMP:§! Show Player Cheats;;;;;;;;;;;;;x
mta_enable_debug_cheats_all_MP_desc;Toggles debug cheat decisions on for all players.;;;;;;;;;;;;;x
mta_disable_debug_cheats;§RDEBUG:§! Hide Debug Cheats;;;;;;;;;;;;;x
mta_disable_debug_cheats_desc;Toggles debug cheat decisions off.;;;;;;;;;;;;;x
mta_disable_debug_cheats_all_MP;§RDEBUG§! §BMP:§! Hide Player Cheats;;;;;;;;;;;;;x
mta_disable_debug_cheats_all_MP_desc;Toggles debug cheat decisions off for all players.;;;;;;;;;;;;;x
mta_set_player_character;§RDEBUG:§! Set Player Character;;;;;;;;;;;;;x
mta_set_player_character_desc;Set §Y[Root.GetTitledFirstName]§! as your currently controlled character.;;;;;;;;;;;;;x
mta_create_cadet_dynasty;§RDEBUG:§! Create Cadet Dynasty;;;;;;;;;;;;;x
mta_create_cadet_dynasty_desc;§Y[Root.GetTitledFirstName]§! will found a new dynasty, joined by any of [Root.GetHerHis] legitimate descendants.;;;;;;;;;;;;;x
mta_create_artifact;§RDEBUG:§! Create Artifact;;;;;;;;;;;;;x
mta_create_artifact_desc;§Y[Root.GetTitledFirstName]§! will instantly gain a smithed artifact of a type to be chosen after taking this decision.;;;;;;;;;;;;;x
mta_create_bloodline;§RDEBUG:§! Create Bloodline;;;;;;;;;;;;;x
mta_create_bloodline_desc;§Y[Root.GetTitledFirstName]§! will become the founder of a bloodline to be chosen after taking this decision.;;;;;;;;;;;;;x
mta_lower_imperial_decay;§RDEBUG:§! Lower Imperial Decay;;;;;;;;;;;;;x
mta_lower_imperial_decay_desc;Decrease the §YImperial Decay§! of the §Y[Root.PrimaryTitle.GetFullName]§!.;;;;;;;;;;;;;x
mta_debug_technology;§RDEBUG:§! Technology Points;;;;;;;;;;;;;x;;;;;;;;;;;;;x
mta_debug_technology_desc;§Y[Root.GetTitledFirstName]§! will receive 300 technology points of a type to be chosen after taking this decision.;;;;;;;;;;;;;x
mta_debug_loyal_vassals;§RDEBUG:§! Vassal Loyalty;;;;;;;;;;;;;x
mta_debug_loyal_vassals_desc;The lords of the §Y[Root.PrimaryTitle.GetFullName]§! have their opinion towards §Y[Root.GetTitledFirstName]§! increased by §G+25§! §Y(A Most Loyal Vassal)§! for §Y10§! years.;;;;;;;;;;;;;x
mta_debug_loyal_vassals_obedience;§RDEBUG:§! Vassal Obedience;;;;;;;;;;;;;x
mta_debug_loyal_vassals_obedience_desc;The lords of the §Y[Root.PrimaryTitle.GetFullName]§! have their opinion towards §Y[Root.GetTitledFirstName]§! increased by §G+50§! §Y(Loyal Servant)§! for §Y100§! years. Their AI will accept all diplomatic interactions from §Y[Root.GetTitledFirstName]§!.;;;;;;;;;;;;;x
mta_debug_impregnate;§RDEBUG:§! Impregnate;;;;;;;;;;;;;x
mta_debug_impregnate_desc;Have a child with §Y[Root.GetTitledFirstName]§!.;;;;;;;;;;;;;x
mta_debug_impregnate_cuckoo;§RDEBUG:§! Impregnate Cuckoo;;;;;;;;;;;;;x
mta_debug_impregnate_cuckoo_desc;Have a child in secret with §Y[Root.GetTitledFirstName]§!.;;;;;;;;;;;;;x
mta_debug_impregnate_spouse;§RDEBUG:§! Impregnate Spouse;;;;;;;;;;;;;x
mta_debug_impregnate_spouse_desc;§Y[Root.GetTitledFirstName]§! will have a child with [Root.GetHerHis] [Root.GetHusbandWifeOpp] §Y[Root.Spouse.GetTitledFirstName]§!.;;;;;;;;;;;;;x
mta_debug_like_me;§RDEBUG:§! Like Me;;;;;;;;;;;;;x
mta_debug_like_me_desc;Increase §Y[Root.GetTitledFirstName]§!'s opinion of me by §G+25§! §Y(Wildly Impressed)§! for §Y10§! years.;;;;;;;;;;;;;x
mta_debug_like_me_obedience;§RDEBUG:§! Like and Obey Me;;;;;;;;;;;;;x
mta_debug_like_me_obedience_desc;Increase §Y[Root.GetTitledFirstName]§!'s opinion of me by §G+50§! §Y(Loyal Servant)§! for §Y100§! years. The AI will accept all diplomatic interactions from me.;;;;;;;;;;;;;x
mta_debug_mass_imprison;§RDEBUG:§! Mass Imprison;;;;;;;;;;;;;x
mta_debug_mass_imprison_desc;Imprison §Y[Root.GetTitledFirstName]§! and anyone in the §Y[Root.PrimaryTitle.GetFullName]§!.;;;;;;;;;;;;;x
mta_debug_imprison;§RDEBUG:§! Imprison;;;;;;;;;;;;;x
mta_debug_imprison_desc;Imprison §Y[Root.GetTitledFirstName]§!.;;;;;;;;;;;;;x
mta_debug_raise_moral_authority;§RDEBUG:§! Raise [Root.Location.Religion.GetName] Authority;;;;;;;;;;;;;x
mta_debug_raise_moral_authority_desc;Raise the Moral Authority of the §Y[Root.Location.Religion.GetName]§! faith by §G+10§! §Y([Root.Location.Religion.GetName] Resurgence)§! for §Y20§! years.;;;;;;;;;;;;;x
mta_debug_lower_moral_authority;§RDEBUG:§! Lower [Root.Location.Religion.GetName] Authority;;;;;;;;;;;;;x
mta_debug_lower_moral_authority_desc;Lower the Moral Authority of the §Y[Root.Location.Religion.GetName]§! faith by §R-10§! §Y([Root.Location.Religion.GetName] Decline)§! for §Y20§! years.;;;;;;;;;;;;;x
mta_debug_convert_county_to_from_culture;§RDEBUG:§! Convert to [From.Culture.GetName];;;;;;;;;;;;;x
mta_debug_convert_county_to_from_culture_desc;Convert §Y[Root.GetName]§! to §Y[From.Culture.GetName]§!.;;;;;;;;;;;;;x
mta_debug_convert_county_to_from_religion;§RDEBUG:§! Convert to [From.Religion.GetName];;;;;;;;;;;;;x
mta_debug_convert_county_to_from_religion_desc;Convert §Y[Root.GetName]§! to §Y[From.Religion.GetName]§!.;;;;;;;;;;;;;x
mta_debug_convert_to_from_culture;§RDEBUG:§! Convert to [From.Culture.GetName];;;;;;;;;;;;;x
mta_debug_convert_to_from_culture_desc;Convert §Y[Root.GetTitledFirstName]§! to §Y[From.Culture.GetName]§!.;;;;;;;;;;;;;x
mta_debug_convert_to_from_religion;§RDEBUG:§! Convert to [From.Religion.GetName];;;;;;;;;;;;;x
mta_debug_convert_to_from_religion_desc;Convert §Y[Root.GetTitledFirstName]§! to §Y[From.Religion.GetName]§!.;;;;;;;;;;;;;x
mta_debug_secretly_convert_to_from_religion;§RDEBUG:§! Make Secret [From.SecretReligion.GetName];;;;;;;;;;;;;x
mta_debug_secretly_convert_to_from_religion_desc;Secretly convert §Y[Root.GetTitledFirstName]§! to §Y[From.SecretReligion.GetName]§!.;;;;;;;;;;;;;x
mta_debug_clear_secret_religion;§RDEBUG:§! Clear Secret [Root.SecretReligion.GetName];;;;;;;;;;;;;x
mta_debug_clear_secret_religion_desc;Clear §Y[Root.GetTitledFirstName]§!'s secret §Y[Root.SecretReligion.GetName]§! faith.;;;;;;;;;;;;;x
mta_debug_take_artifact;§RDEBUG:§! Take Artifact;;;;;;;;;;;;;x
mta_debug_take_artifact_desc;Take an artifact from §Y[Root.GetTitledFirstName]§! and transfer it to your treasury.;;;;;;;;;;;;;x
mta_debug_destroy_artifact;§RDEBUG:§! Destroy Artifact;;;;;;;;;;;;;x
mta_debug_destroy_artifact_desc;Permanently destroy an artifact belonging to §Y[Root.GetTitledFirstName]§!.;;;;;;;;;;;;;x
mta_debug_take_landed_titles;§RDEBUG:§! Take Landed Titles;;;;;;;;;;;;;x
mta_debug_take_landed_titles_desc;§Y[Root.GetTitledFirstName]§! will abdicate all of their landed titles to you.;;;;;;;;;;;;;x
mta_debug_take_title;§RDEBUG:§! Take Title;;;;;;;;;;;;;x
mta_debug_take_title_desc;Take the §Y[Root.GetFullName]§! from §Y[Root.Holder.GetTitledFirstName]§!.;;;;;;;;;;;;;x
mta_debug_add_claim_strong;§RDEBUG:§! Add Strong Claim;;;;;;;;;;;;;x
mta_debug_add_claim_strong_desc;Add a heritable §YStrong Claim§! on the §Y[Root.GetFullName]§! to §Y[From.GetBestName]§!.;;;;;;;;;;;;;x
mta_debug_add_claim_weak_pressed;§RDEBUG:§! Add Weak Claim;;;;;;;;;;;;;x
mta_debug_add_claim_weak_pressed_desc;Add a heritable §YWeak Claim§! on the §Y[Root.GetFullName]§! to §Y[From.GetBestName]§!.;;;;;;;;;;;;;x
mta_debug_independence;§RDEBUG:§! Independence;;;;;;;;;;;;;x
mta_debug_independence_desc;Give §Y[Root.GetTitledFirstName]§! independence.;;;;;;;;;;;;;x
mta_debug_vassalise;§RDEBUG:§! Vassalise;;;;;;;;;;;;;x
mta_debug_vassalise_desc;Vassalise §Y[Root.GetTitledFirstName]§!.;;;;;;;;;;;;;x
mta_debug_tributary;§RDEBUG:§! Make Tributary;;;;;;;;;;;;;x
mta_debug_tributary_desc;Make §Y[Root.GetBestName]§! a tributary of §Y[From.GetBestName]§!.;;;;;;;;;;;;;x
mta_debug_shatter_realm;§RDEBUG:§! Shatter Realm;;;;;;;;;;;;;x
mta_debug_shatter_realm_desc;Destroy any landed titles above §YDuke§! tier held by §Y[Root.GetTitledFirstName]§!.;;;;;;;;;;;;;x
mta_debug_health;§RDEBUG:§! Health Boost;;;;;;;;;;;;;x
mta_debug_health_desc;Temporarily boost §Y[Root.GetTitledFirstName]§!'s health.;;;;;;;;;;;;;x
mta_debug_bad_health;§RDEBUG:§! Health Penalty;;;;;;;;;;;;;x
mta_debug_bad_health_desc;Temporarily decrease §Y[Root.GetTitledFirstName]§!'s health.;;;;;;;;;;;;;x
mta_rename_character;§RDEBUG:§! Rename;;;;;;;;;;;;;x
mta_rename_character_desc;Rename §Y[Root.GetFirstName]§!.;;;;;;;;;;;;;x
mta_debug_add_holding_slot;§RDEBUG:§! Add Holding Slot;;;;;;;;;;;;;x
mta_debug_add_holding_slot_desc;Add §Y1§! holding slot to §Y[Root.Location.GetName]§!.;;;;;;;;;;;;;x
mta_debug_remove_holding_slot;§RDEBUG:§! Remove Holding Slot;;;;;;;;;;;;;x
mta_debug_remove_holding_slot_desc;Remove §Y1§! holding slot from §Y[Root.Location.GetName]§!.;;;;;;;;;;;;;x
mta_debug_replenish_levies;§RDEBUG:§! Replenish Levies;;;;;;;;;;;;;x
mta_debug_replenish_levies_desc;Restore the Levy in §Y[This.GetName]§!.;;;;;;;;;;;;;x
mta_debug_destroy_settlement;§RDEBUG:§! Destroy Settlement;;;;;;;;;;;;;x
mta_debug_destroy_settlement_desc;Destroy §Y[This.GetName]§!.;;;;;;;;;;;;;x

### EVENTS ###
# Create Bloodline
mta_debug_2_desc;What type of bloodline will [debug_bloodline_founder.GetTitledFirstName] become the founder of?;;;;;;;;;;;;;x
mta_debug_2_a;Event Chain;;;;;;;;;;;;;x
mta_debug_2_b;Murder, Conquest;;;;;;;;;;;;;x
mta_debug_2_c;Peace, Construction, Hybrid;;;;;;;;;;;;;x
mta_debug_2_d;Cancel;;;;;;;;;;;;;x

# Event Chain
mta_debug_3_desc;Narrow it down further...;;;;;;;;;;;;;x
mta_debug_3_a;Benevolent, Family;;;;;;;;;;;;;x
mta_debug_3_b;Theologian, Philosopher;;;;;;;;;;;;;x
mta_debug_3_c;Zealot, Ruthless;;;;;;;;;;;;;x
mta_debug_3_d;Back;;;;;;;;;;;;;x
# Benevolent / Family
mta_debug_4_desc;Which?;;;;;;;;;;;;;x
mta_debug_4_a;Benevolent;;;;;;;;;;;;;x
mta_debug_4_b;Family;;;;;;;;;;;;;x
mta_debug_4_d;Back;;;;;;;;;;;;;x
# Theologian / Philosopher
mta_debug_5_desc;Which?;;;;;;;;;;;;;x
mta_debug_5_a;Theologian;;;;;;;;;;;;;x
mta_debug_5_b;Philosopher;;;;;;;;;;;;;x
mta_debug_5_d;Back;;;;;;;;;;;;;x
# Zealot / Ruthless
mta_debug_6_desc;Which?;;;;;;;;;;;;;x
mta_debug_6_a;Zealot;;;;;;;;;;;;;x
mta_debug_6_b;Ruthless;;;;;;;;;;;;;x
mta_debug_6_d;Back;;;;;;;;;;;;;x

# Murder / Conquest
mta_debug_7_desc;Narrow it down further...;;;;;;;;;;;;;x
mta_debug_7_a;Macabre Banquet, Silent Killer, The Butcher;;;;;;;;;;;;;x
mta_debug_7_b;Happy Child, The Dragon-[debug_bloodline_founder.GetTitle], Conqueror;;;;;;;;;;;;;x
mta_debug_7_c;Warrior-Philosopher, L'il Warrior Philosopher, The Perfect Knight;;;;;;;;;;;;;x
mta_debug_7_d;Back;;;;;;;;;;;;;x
# Macabre Banquet / Silent Killer / The Butcher
mta_debug_8_desc;Which?;;;;;;;;;;;;;x
mta_debug_8_a;Macabre Banquet;;;;;;;;;;;;;x
mta_debug_8_b;Silent Killer;;;;;;;;;;;;;x
mta_debug_8_c;The Butcher;;;;;;;;;;;;;x
mta_debug_8_d;Back;;;;;;;;;;;;;x
# Happy Child / The Dragon-King / Conqueror
mta_debug_9_desc;Which?;;;;;;;;;;;;;x
mta_debug_9_a;Happy Child;;;;;;;;;;;;;x
mta_debug_9_b;The Dragon-[debug_bloodline_founder.GetTitle];;;;;;;;;;;;;x
mta_debug_9_c;Conqueror;;;;;;;;;;;;;x
mta_debug_9_d;Back;;;;;;;;;;;;;x
# Warrior-Philosopher / L'il Warrior Philosopher / The Perfect Knight
mta_debug_10_desc;Which?;;;;;;;;;;;;;x
mta_debug_10_a;Warrior-Philosopher;;;;;;;;;;;;;x
mta_debug_10_b;L'il Warrior Philosopher;;;;;;;;;;;;;x
mta_debug_10_c;The Perfect Knight;;;;;;;;;;;;;x
mta_debug_10_d;Back;;;;;;;;;;;;;x

# Peace / Construction / Hybrid
mta_debug_11_desc;Narrow it down further...;;;;;;;;;;;;;x
mta_debug_11_a;Protector, Benefactor, Blessed Child;;;;;;;;;;;;;x
mta_debug_11_b;Architect, Castellan, Carpenter;;;;;;;;;;;;;x
mta_debug_11_c;Hybrid;;;;;;;;;;;;;x
mta_debug_11_d;Back;;;;;;;;;;;;;x
# Protector / Benefactor / Blessed Child
mta_debug_12_desc;Which?;;;;;;;;;;;;;x
mta_debug_12_a;Protector;;;;;;;;;;;;;x
mta_debug_12_b;Benefactor;;;;;;;;;;;;;x
mta_debug_12_c;Blessed Child;;;;;;;;;;;;;x
mta_debug_12_d;Back;;;;;;;;;;;;;x
# Architect / Castellan / Carpenter
mta_debug_13_desc;Which?;;;;;;;;;;;;;x
mta_debug_13_a;Architect;;;;;;;;;;;;;x
mta_debug_13_b;Castellan;;;;;;;;;;;;;x
