PROV2449;Alexandreia Eschate;Alexandreia Eschate;Alexandreia Eschate;;Alexandreia Eschate;;;;;;;;;x
PROV2548;Jiangning;Jiangning;Jiangning;;Jiangning;;;;;;;;;x
PROV2551;Luoyiana;Luoyiana;Luoyiana;;Luoyiana;;;;;;;;;x
PROV2653;Alexandria Tsangana;Alexandria Tsangana;Alexandria Tsangana;;Alexandria Tsangana;;;;;;;;;x
SONG_DYNASTY;Song;Song;Song;Song;Song;Song;Song;Song;Song;Song;Song;Song;Song;x
SONG_DYNASTY_ADJ;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;x
TANG_DYNASTY;Tang;Tang;Tang;Tang;Tang;Tang;Tang;Tang;Tang;Tang;Tang;Tang;Tang;x
TANG_DYNASTY_ADJ;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;x
YUAN_DYNASTY;Yuan;Yuan;Yuan;Yuan;Yuan;Yuan;Yuan;Yuan;Yuan;Yuan;Yuan;Yuan;Yuan;x
YUAN_DYNASTY_ADJ;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;x
ZHOU_DYNASTY;Zhou;Zhou;Zhou;Zhou;Zhou;Zhou;Zhou;Zhou;Zhou;Zhou;Zhou;Zhou;Zhou;x
ZHOU_DYNASTY_ADJ;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;Chinese;x
b_Dringzjeng;Chengcheng;Chengcheng;Chengcheng;Chengcheng;Chengcheng;Chengcheng;Chengcheng;Chengcheng;Chengcheng;Chengcheng;Chengcheng;Chengcheng;Chengcheng;x
b_Phyozjeng;Fucheng;Fucheng;Fucheng;Fucheng;Fucheng;Fucheng;Fucheng;Fucheng;Fucheng;Fucheng;Fucheng;Fucheng;Fucheng;x
b_abok;Abo;Abo;Abo;Abo;Abo;Abo;Abo;Abo;Abo;Abo;Abo;Abo;Abo;x
b_ado; 'a-do; 'a-do; 'a-do; 'a-do; 'a-do; 'a-do; 'a-do; 'a-do; 'a-do; 'a-do; 'a-do; 'a-do; 'a-do;x
b_anbjen;Anping;Anping;Anping;Anping;Anping;Anping;Anping;Anping;Anping;Anping;Anping;Anping;Anping;x
b_anchjang;Anchang;Anchang;Anchang;Anchang;Anchang;Anchang;Anchang;Anchang;Anchang;Anchang;Anchang;Anchang;Anchang;x
b_aneng;Aning;Aning;Aning;Aning;Aning;Aning;Aning;Aning;Aning;Aning;Aning;Aning;Aning;x
b_angyat;Ayue;Ayue;Ayue;Ayue;Ayue;Ayue;Ayue;Ayue;Ayue;Ayue;Ayue;Ayue;Ayue;x
b_anhiang;Anxiang;Anxiang;Anxiang;Anxiang;Anxiang;Anxiang;Anxiang;Anxiang;Anxiang;Anxiang;Anxiang;Anxiang;Anxiang;x
b_anhiangkruan;Anxiangguan;Anxiangguan;Anxiangguan;Anxiangguan;Anxiangguan;Anxiangguan;Anxiangguan;Anxiangguan;Anxiangguan;Anxiangguan;Anxiangguan;Anxiangguan;Anxiangguan;x
b_anhix;Anxi;Anxi;Anxi;Anxi;Anxi;Anxi;Anxi;Anxi;Anxi;Anxi;Anxi;Anxi;Anxi;x
b_anhruah;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;x
b_anhruahngie;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;Anhua;x
b_anip;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;x
b_anjang;Anyang;Anyang;Anyang;Anyang;Anyang;Anyang;Anyang;Anyang;Anyang;Anyang;Anyang;Anyang;Anyang;x
b_anjii;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;Anyi;x
b_ankhiu;Anqiu;Anqiu;Anqiu;Anqiu;Anqiu;Anqiu;Anqiu;Anqiu;Anqiu;Anqiu;Anqiu;Anqiu;Anqiu;x
b_ankio;Anju;Anju;Anju;Anju;Anju;Anju;Anju;Anju;Anju;Anju;Anju;Anju;Anju;x
b_ankjit;Anji;Anji;Anji;Anji;Anji;Anji;Anji;Anji;Anji;Anji;Anji;Anji;Anji;x
b_ankrung;Anjiang;Anjiang;Anjiang;Anjiang;Anjiang;Anjiang;Anjiang;Anjiang;Anjiang;Anjiang;Anjiang;Anjiang;Anjiang;x
b_anliuk;Anlu;Anlu;Anlu;Anlu;Anlu;Anlu;Anlu;Anlu;Anlu;Anlu;Anlu;Anlu;Anlu;x
b_anlyungx;Anlong;Anlong;Anlong;Anlong;Anlong;Anlong;Anlong;Anlong;Anlong;Anlong;Anlong;Anlong;Anlong;x
b_anmjin;Aimin;Aimin;Aimin;Aimin;Aimin;Aimin;Aimin;Aimin;Aimin;Aimin;Aimin;Aimin;Aimin;x
b_anngruk;Anyue;Anyue;Anyue;Anyue;Anyue;Anyue;Anyue;Anyue;Anyue;Anyue;Anyue;Anyue;Anyue;x
b_annjin;Anren;Anren;Anren;Anren;Anren;Anren;Anren;Anren;Anren;Anren;Anren;Anren;Anren;x
b_annjin_ghrang;Anren;Anren;Anren;Anren;Anren;Anren;Anren;Anren;Anren;Anren;Anren;Anren;Anren;x
b_anphiung;Anfeng;Anfeng;Anfeng;Anfeng;Anfeng;Anfeng;Anfeng;Anfeng;Anfeng;Anfeng;Anfeng;Anfeng;Anfeng;x
