#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
DAQIN.00501.title;Colourful Court;;;;;;;;;;;;;x
DAQIN.00501.desc;The new culture has resulted in new fashions. Fine Chinese silks, coloured cuffs and sashes along robes inspired by Greco-Roman cuts, accessorised with jewellery set with gemstones or blown glass. You could sport this new look, with a little funding to your tailor.;;;;;;;;;;;;;x
DAQIN.00501.OPTA;They're beautiful. I'll wear it.;;;;;;;;;;;;;x
DAQIN.00501.OPTB;A little gaudy, honestly.;;;;;;;;;;;;;x
DAQIN.00502.title;A Walk in the Park;;;;;;;;;;;;;x
DAQIN.00502.desc;While out for a walk along a riverbank, you come across a group of people playing all manner of board games. Some Western, some Eastern, and some neither. The players greet you with a bow, and ask if you would grace them with a game.;;;;;;;;;;;;;x
DAQIN.00502.OPTA;Sure, deal me in!;;;;;;;;;;;;;x
DAQIN.00502.OPTB;I'd prefer to watch a round..;;;;;;;;;;;;;x
DAQIN.00502.OPTC;I'll pass, thank you.;;;;;;;;;;;;;x
DAQIN.00502.OPTD;Hold on, I recognise this one!;;;;;;;;;;;;;x
DAQIN.00503.title;Victorious Match;;;;;;;;;;;;;x
DAQIN.00503.desc;The rules were a little strange at first, but you picked them up through play quite quickly, and brought you a victory. The observers all let out a good natured cheer, and your opponent bursts out into a grin, shaking your hand and congratulating you on a good game, played well.;;;;;;;;;;;;;x
DAQIN.00503.OPTA;What a pleasant afternoon.;;;;;;;;;;;;;x
DAQIN.00504.title;Outmanuevered;;;;;;;;;;;;;x
DAQIN.00504.desc;Though the game was tense, your opponent displays a greater aptitude, and you are forced to admit defeat. The onlookers tell you that you played well for one so inexperienced, though most of the praise goes to the victor.;;;;;;;;;;;;;x
DAQIN.00504.OPTA;Good game.;;;;;;;;;;;;;x
DAQIN.00504.OPTB;Flip the table and storm off!;;;;;;;;;;;;;x
DAQIN.00505.title;Spectator Mode;;;;;;;;;;;;;x
DAQIN.00505.desc;The game was gripping! One of the more experienced of the audience explained the rules to you as they came up - why this move was ingenious, that one a mistake, how fortunes could be turned with a little luck. Perhaps in the future there will be hundreds of people watching games such as this like one would a joust or chariot race?;;;;;;;;;;;;;x
DAQIN.00505.OPTA;Strategy and comradery on display.;;;;;;;;;;;;;x
DAQIN.00506.title;A Moment of Peace;;;;;;;;;;;;;x
DAQIN.00506.desc;You walk on, and find a secluded spot a little further ways down the river. It's peaceful, and you take a while to simply relax among it all. \n When a retainer comes to get you at sunset, you smile for what feels like the first time in a long time.;;;;;;;;;;;;;x
DAQIN.00506.OPTA;There are always bright spots;;;;;;;;;;;;;x
DAQIN.00507.title;A Moment of Peace;;;;;;;;;;;;;x
DAQIN.00507.desc;You walk on, following the river upstream, the sounds of civilisation fading behind you. The mind wanders in calm like this. \n You sit on a hilltop, offer a prayer to [Root.Religion.GetRandomGodName], and focus on your breathing while you ponder some questions on your mind.;;;;;;;;;;;;;x
DAQIN.00507.OPTA;Goodness, is that the time?;;;;;;;;;;;;;x
DAQIN.00508.title;Master of the Craft;;;;;;;;;;;;;x
