EVTDESC1000109021;While talking with you one day, a servant asks you why we need to have Jews at your court. “Surely,” he says, “You are aware of the danger of these terrible people? We shouldn’t be keeping them here.”;"Un jour, un serviteur vous demande pourquoi nous avons besoin d'avoir des Juifs à votre cour. ""Vous êtes conscients du danger de ces terribles gens ? On ne devrait pas les garder ici.""";;;;;;;;;;x;;
EVTDESC1000109021;While talking with you one day, a servant asks you why we need to have Jews at your court. “Surely,” he says, “You are aware of the danger of these terrible people? We shouldn’t be keeping them here.”;;;;;;;;;;;x
EVTDESC1000109022;One of my Jewish courtiers is well-known for his great knowledge concerning spiritual matters. Today, out of boredom, we decided to begin a religious debate. So far, it’s been interesting debating against a Jew. As of now, things are starting to get really heated...;;;;;;;;;;;x
EVTDESC1000109022;One of my Jewish courtiers is well-known for his great knowledge concerning spiritual matters. Today, out of boredom, we decided to begin a religious debate. So far, it’s been interesting debating against a Jew. As of now, things are starting to get really heated...;Un de mes courtisans juifs est connu pour sa grande connaissance des questions spirituelles. Aujourd'hui, par ennui, nous avons décidé d'entamer un débat religieux. Jusqu'à présent, ça a été un débat intéressant contre un Juif. À partir de maintenant, les choses commencent à s'échauffer ...;;;;;;;;;;x;;
EVTDESC1000109023;While we disagreed on many points, our dicussion was nevertheless very enlightening. In fact, we were so engrossed in our debate that by the time we finished, it was already sunrise!;;;;;;;;;;;x
EVTDESC1000109023;While we disagreed on many points, our discussion was nevertheless very enlightening. In fact, we were so engrossed in our debate that by the time we finished, it was already sunrise!;Bien que nous ayons été en désaccord sur de nombreux points, notre discussion a néanmoins été très éclairante. En fait, nous étions tellement absorbés par notre débat qu'au moment où nous avons terminé, le soleil était déjà levé !;;;;;;;;;;x;;
EVTDESC1000109024;I should never have this kind of debate again. Our disagreements were too many, and I really felt frustrated with the man.;;;;;;;;;;;x
EVTDESC1000109024;I should never have this kind of debate again. Our disagreements were too many, and I really felt frustrated with the man.;Je ne devrais plus jamais avoir ce genre de débat. Nos désaccords étaient trop nombreux, et je me sentais vraiment frustré avec cet homme.;;;;;;;;;;x;;
EVTDESC1000109025;It’s such a nice day outside, but even as I bask in the garden’s sunlight, inside my heart I feel sorrow. Perhaps I should sing the song my mother taught me years ago...;;;;;;;;;;;x
EVTDESC1000109025;It’s such a nice day outside, but even as I bask in the garden’s sunlight, inside my heart I feel sorrow. Perhaps I should sing the song my mother taught me years ago...;C'est une si belle journée à l'extérieur, mais même si je me prélasse dans le soleil du jardin, à l'intérieur de mon cœur, je ressens de la peine. Je devrais peut-être chanter la chanson que ma mère m'a apprise il y a des années ...;;;;;;;;;;x;;
EVTDESC1000109026;Today, while walking in the courtyard, you find one of your Jewish courtiers singing a haunting, ancient Jewish song. Even though you don’t understand it, you feel the sadness, the melancholy, the nostalgia, the sehnsucht of the lyrics. You watch her sing for a while, and after she finishes, you decide to approach her.;;;;;;;;;;;x
EVTDESC1000109026;Today, while walking in the courtyard, you find one of your Jewish courtiers singing a haunting, ancient Jewish song. Even though you don’t understand it, you feel the sadness, the melancholy, the nostalgia, the sehnsucht of the lyrics. You watch her sing for a while, and after she finishes, you decide to approach her.;Aujourd'hui, en marchant dans la cour, vous trouvez un de vos courtisans juifs qui chante une chanson juive ancienne et obsédante. Même si vous ne le comprenez pas, vous ressentez la tristesse, la mélancolie, la nostalgie, l'aspiration des paroles. Vous la regardez chanter un moment, et une fois qu'elle a fini, vous décidez de l'approcher.;;;;;;;;;;x;;
EVTDESC1000109027;While talking with my liege today, the topic of our conversation suddenly switched to finances. Perhaps this is a perfect opportunity to make my request!;;;;;;;;;;;x
EVTDESC1000109027;While talking with my liege today, the topic of our conversation suddenly switched to finances. Perhaps this is a perfect opportunity to make my request!;En parlant avec mon seigneur aujourd'hui, le sujet de notre conversation a soudainement basculé sur les finances. C'est peut-être l'occasion rêvée de faire ma demande !;;;;;;;;;;x;;
EVTDESC1000109028;While privately discussing the finances  of your realm with one of your Jewish courtiers, the courtier suddenly makes a request. Nervously, he says: “My liege, the Jewish people are suffering greatly this year, being forced to pay the Jizya tax when we are in such an impoverished situation. To alleviate the problems of the Jewry, would it hurt to slightly reduce this tax?”;"Alors que vous discutez en privé des finances de votre royaume avec l'un de vos courtisans juifs, le courtisan fait soudainement une demande. Nerveux, il dit : ""Mon seigneur, le peuple juif souffre énormément cette année, étant forcé de payer l'impôt de Jizya alors que nous sommes dans une situation si pauvre. Pour atténuer les problèmes des Juifs, est-ce que ça ne serait pas bien de réduire légèrement cette taxe ?""";;;;;;;;;;x;;
EVTDESC1000109028;While privately discussing the finances  of your realm with one of your Jewish courtiers, the courtier suddenly makes a request. Nervously, he says: “My liege, the Jewish people are suffering greatly this year, being forced to pay the Jizya tax when we are in such an impoverished situation. To alleviate the problems of the Jewry, would it hurt to slightly reduce this tax?”;;;;;;;;;;;x
EVTDESC1000109029;After having a number of Jews in my court for such a long time, I’ve gotten to know them better, and I’ve begun to reconsider my hatred of them. Hath not a Jew eyes? Hath not a Jew hands, organs, dimensions, senses, affections, passions as a Christian has? Perhaps Jews can be good and just people too.;;;;;;;;;;;x
EVTDESC1000109029;After having a number of Jews in my court for such a long time, I’ve gotten to know them better, and I’ve begun to reconsider my hatred of them. Hath not a Jew eyes? Hath not a Jew hands, organs, dimensions, senses, affections, passions as a Christian has? Perhaps Jews can be good and just people too.;Après avoir eu un certain nombre de Juifs dans ma cour pendant si longtemps, j'ai appris à mieux les connaître et j'ai commencé à reconsidérer ma haine envers eux. N'est-ce pas un regard juif ? N'a-t-on pas des mains, des organes, des dimensions, des sens, des affections, des passions juives comme un chrétien ? Peut-être que les Juifs peuvent être bons et justes aussi.;;;;;;;;;;x;;
EVTDESC1000109030;I’ve just received news that one of my distant cousins is fleeing from persecution in another region. I could take my cousin in, but I’m not sure if my liege is willing too... I’ll just have to wait for a good opportunity to ask.;;;;;;;;;;;x
EVTDESC1000109030;I’ve just received news that one of my distant cousins is fleeing from persecution in another region. I could take my cousin in, but I’m not sure if my liege is willing too... I’ll just have to wait for a good opportunity to ask.;Je viens d'apprendre qu'un de mes cousins éloignés fuit la persécution dans une autre région. Je pourrais faire entrer mon cousin, mais je ne suis pas sûr que mon seigneur le veuille aussi... Je vais devoir attendre une bonne occasion de demander.;;;;;;;;;;x;;
EVTDESC1000109031;A Jewish courtier, [From.GetFirstName], has recently requested that you allow a distant cousins to take refuge in your court. This cousin is trying to flee persecution from another realm, and currently your realm is the only place this cousin could go to... if you allow him to, that is.;;;;;;;;;;;x
EVTDESC1000109031;A Jewish courtier, [From.GetFirstName], has recently requested that you allow a distant cousins to take refuge in your court. This cousin is trying to flee persecution from another realm, and currently your realm is the only place this cousin could go to... if you allow him to, that is.;Un courtisan juif, [From.GetFirstName], a récemment demandé que vous autorisiez un cousin éloigné à se réfugier dans votre cour. Ce cousin essaie de fuir la persécution d'un autre royaume, et actuellement votre royaume est le seul endroit où ce cousin pourrait aller... si vous le lui permettez.;;;;;;;;;;x;;
EVTDESC1000109032;My liege is currently very sick, but I know a skilled Jewish physician - a family friend, in fact - who lives in my neighborhood. Perhaps I can recommend him to my liege.;;;;;;;;;;;x
EVTDESC1000109032;My liege is currently very sick, but I know a skilled Jewish physician - a family friend, in fact - who lives in my neighborhood. Perhaps I can recommend him to my liege.;Mon seigneur est actuellement très malade, mais je connais un médecin juif compétent - un ami de la famille, en fait - qui vit dans mon quartier. Je peux peut-être le recommander à mon seigneur.;;;;;;;;;;x;;
EVTDESC1000109033;Your illness continues to worsen. However, [From.GetFirstName] tells you of a skilled Jewish physician he knows very well (apparently this man is a family friend). This physician could, hopefully, claims your courtier, heal you of your illness.;;;;;;;;;;;x
EVTDESC1000109033;Your illness continues to worsen. However, [From.GetFirstName] tells you of a skilled Jewish physician he knows very well (apparently this man is a family friend). This physician could, hopefully, claims your courtier, heal you of your illness.;Votre maladie continue de s'aggraver. Cependant, [From.GetFirstName]  vous parle d'un médecin juif compétent qu'il connaît très bien (apparemment, cet homme est un ami de la famille). Votre courtisan, espérons-le, prétend que le médecin pourrait vous guérir de votre maladie.;;;;;;;;;;x;;
EVTDESC1000109034;Apparently, the Jewish physician is just as skilled as your courtier said. Your illness has completely gone away, and you feel even stronger than you were before your illness started. This must be a miracle of sorts!;;;;;;;;;;;x
EVTDESC1000109034;Apparently, the Jewish physician is just as skilled as your courtier said. Your illness has completely gone away, and you feel even stronger than you were before your illness started. This must be a miracle of sorts!;Apparemment, le médecin juif est aussi compétent que votre courtisan l'a dit. Votre maladie a complètement disparu et vous vous sentez encore plus fort qu'avant le début de votre maladie. Ce doit être une sorte de miracle !;;;;;;;;;;x;;
EVTDESC1000109035;The Jewish physician tries hardest to cure your illness, but it seems nothing he does seem to help. Still, you do feel a little better than you did before, at the least.;;;;;;;;;;;x
EVTDESC1000109035;The Jewish physician tries hardest to cure your illness, but it seems nothing he does seem to help. Still, you do feel a little better than you did before, at the least.;Le médecin juif fait de son mieux pour guérir votre maladie, mais il semblerait que rien ne l'aider. Vous vous sentez quand même un peu mieux qu'avant, au moins.;;;;;;;;;;x;;
EVTDESC1000109037;One of my Jewish courtiers has just returned from the funeral of a family friend. Perhaps I should offer my condolences.;;;;;;;;;;;x
EVTDESC1000109037;One of my Jewish courtiers has just returned from the funeral of a family friend. Perhaps I should offer my condolences.;Un de mes courtisans juifs vient de rentrer des funérailles d'un ami de la famille. Je devrais peut-être lui offrir mes condoléances.;;;;;;;;;;x;;
EVTDESC1000109107;You are not a descendant of David, and your claim is not recognized. With the end of the exilarchs the Karaites now look to different leaders.;;;;;;;;;x
EVTDESCjewmod.100;Some of our Jewish subjects have expressed a desire to serve at court.;;;;;;;;;;;;;x
EVTOPTA1000109021;We need educated people, no matter what.;;;;;;;;;;;x
EVTOPTA1000109021;We need educated people, no matter what.;Nous avons besoin de gens instruits, quoi qu'il arrive.;;;;;;;;;;x;;
EVTOPTA1000109022;But you see, in [Root.Religion.GetScriptureName], it says that...;;;;;;;;;;;x
EVTOPTA1000109022;But you see, in [Root.Religion.GetScriptureName], it says that...;Mais vous voyez, dans [Root.Religion.GetScriptureName], il est écrit que ...;;;;;;;;;;x;;
EVTOPTA1000109023;It was most enjoyable.;;;;;;;;;;;x
EVTOPTA1000109023;It was most enjoyable.;C'était très agréable.;;;;;;;;;;x;;
EVTOPTA1000109024;Enough of this.;;;;;;;;;;;x
EVTOPTA1000109024;Enough of this.;Assez de tout ça.;;;;;;;;;;x;;
EVTOPTA1000109025;Oh Jerusalem...;;;;;;;;;;;x
EVTOPTA1000109025;Oh Jerusalem...;Oh Jérusalem ...;;;;;;;;;;x;;
EVTOPTA1000109026;Very soothing and soulful indeed!;;;;;;;;;;;x
EVTOPTA1000109026;Very soothing and soulful indeed!;Très apaisant et émouvant en effet !;;;;;;;;;;x;;
EVTOPTA1000109027;Hopefully my liege is in a good mood...;;;;;;;;;;;x
EVTOPTA1000109027;Hopefully my liege is in a good mood...;J'espère que mon seigneur est de bonne humeur ...;;;;;;;;;;x;;
EVTOPTA1000109028;Very well. I will temporarily reduce taxes.;;;;;;;;;;;x
EVTOPTA1000109028;Very well. I will temporarily reduce taxes.;Très bien. Je vais réduire temporairement les impôts.;;;;;;;;;;x;;
EVTOPTA1000109029;No! Such ideas are deceptions by the devil!;;;;;;;;;;;x
EVTOPTA1000109029;No! Such ideas are deceptions by the devil!;Non ! De telles idées sont des tromperies du diable !;;;;;;;;;;x;;
EVTOPTA1000109030;Oy vey...;;;;;;;;;;;x
EVTOPTA1000109030;Oy vey...;Oy vey ...;;;;;;;;;;x;;
EVTOPTA1000109031;Very well. As long as he doesn’t cause trouble.;;;;;;;;;;;x
EVTOPTA1000109031;Very well. As long as he doesn’t cause trouble.;Très bien. Tant qu'il ne cause pas d'ennuis.;;;;;;;;;;x;;
EVTOPTA1000109032;Hopefully my liege will be accept a Jewish physician.;;;;;;;;;;;x
EVTOPTA1000109032;Hopefully my liege will be accept a Jewish physician.;J'espère que mon seigneur acceptera un médecin juif.;;;;;;;;;;x;;
EVTOPTA1000109033;Thank you for telling me this. Summon this physician!;;;;;;;;;;;x
EVTOPTA1000109033;Thank you for telling me this. Summon this physician!;Merci de me l'avoir dit. Appelez ce médecin !;;;;;;;;;;x;;
EVTOPTA1000109034;Thank [Root.Religion.GetRandomGodName] for the physician! Here’s his payment.;;;;;;;;;;;x
EVTOPTA1000109034;Thank [Root.Religion.GetRandomGodName] for the physician! Here’s his payment.;Remercions [Root.Religion.GetRandomGodName] pour ce médecin ! Voilà son paiement.;;;;;;;;;;x;;
