# the real new holding slot was the adventures we had and the friends we made along the way

add_new_holding_slot2;Add New Holding Slot;;;;;;;;;;;;x
add_new_holding_slot2_desc;Designate the land for new developments.;;;;;;;;;;;;x
add_new_holding_slot3;Add New Holding Slot;;;;;;;;;;;;x
add_new_holding_slot3_desc;Designate the land for new developments.;;;;;;;;;;;;x
add_new_holding_slot4;Add New Holding Slot;;;;;;;;;;;;x
add_new_holding_slot4_desc;Designate the land for new developments.;;;;;;;;;;;;x
add_new_holding_slot5;Add New Holding Slot;;;;;;;;;;;;x
add_new_holding_slot5_desc;Designate the land for new developments.;;;;;;;;;;;;x
add_new_holding_slot6;Add New Holding Slot;;;;;;;;;;;;x
add_new_holding_slot6_desc;Designate the land for new developments.;;;;;;;;;;;;x
add_new_holding_slot7;Add New Holding Slot;;;;;;;;;;;;x
add_new_holding_slot7_desc;Designate the land for new developments.;;;;;;;;;;;;x

add_new_tribal_holding_slot2;Expand Tribal Territory;;;;;;;;;;;;x
add_new_tribal_holding_slot2_desc;Designate the land for new pastures.;;;;;;;;;;;;x
add_new_tribal_holding_slot3;Expand Tribal Territory;;;;;;;;;;;;x
add_new_tribal_holding_slot3_desc;Designate the land for new pastures.;;;;;;;;;;;;x
add_new_tribal_holding_slot4;Expand Tribal Territory;;;;;;;;;;;;x
add_new_tribal_holding_slot4_desc;Designate the land for new pastures.;;;;;;;;;;;;x
add_new_tribal_holding_slot5;Expand Tribal Territory;;;;;;;;;;;;x
add_new_tribal_holding_slot5_desc;Designate the land for new pastures.;;;;;;;;;;;;x
add_new_tribal_holding_slot6;Expand Tribal Territory;;;;;;;;;;;;x
add_new_tribal_holding_slot6_desc;Designate the land for new pastures.;;;;;;;;;;;;x
add_new_tribal_holding_slot7;Expand Tribal Territory;;;;;;;;;;;;x
add_new_tribal_holding_slot7_desc;Designate the land for new pastures.;;;;;;;;;;;;x

;;;;;;;;;;;;x
