#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hist_alexander;Blood of Alexandros;;;;;;;;;;;;;x
hist_alexander_desc;This character is a proud descendant of Megas Alexandros. His son by Roxana, Alexandros IV was a tragic figure, blinded in a childhood accident. Following unrest he retired to Cyprus, where he took little interest in the affairs of the world. The main line of the Argeadai became irrelevant, yet respected rulers of their island kingdom, while the secondary line, descended from Stateira became glorified marriage partners for the daughters of the Diadokhoi. It is said the Conqueror's blood boils with ambition and echoes of Alexandros's thoughts still reverberate through the very spirit of his heirs! The blood keeps whispering to them that they should only weep when there is nothing left to conquer!;;;;;;;;;;;;;x
hist_ptolemaios;Blood of Ptolemaios;;;;;;;;;;;;;x
hist_ptolemaios_desc;The proud Diadokhoi bloodline of Ptolemaios once ruled over Egypt and the Levant, from Kyrene to Cyprus! As a Roman vassal, Ptolemaic Egypt managed to survive in a reduced state, until finally its rulers had to accept the loss of Egypt and rule over the small kingdom of Kyrene alone. Kyrene became an impregnable bastion of the Ptolemaioi, a highly fortified and developed realm sustained by a powerful professional military, and even Muslim expansion could not dislodge the proud Hellenes from their seat of power. Upon their elevation to the throne, the Ptolemaioi of Kyrene adopt the sacred praenomen of Userkhaenre Meryamun  - Who is made strong through the ka of Re, beloved of Amun- the ancient name of PtolemaÓos Phil·delphos, for it was prophesized that He would ride back in glory to Alexandria and beyond!;;;;;;;;;;;;;x
hist_gelimer;Blood of Gelimer;;;;;;;;;;;;;x
hist_gelimer_desc;Gelimer, King of the Vandals and the Alans, Champion of Arianism defeated Belisarius at Ad Decimum in 533, thus ensuring the survival of the Vandal state. His dream of forging a Carthaginian Empire came very near to fruition. He ruled over a vast state controlling Carthage, Sicily, Sardinia, Corsica and Southern Spain, but died assassinated in Carthago Nova, before he could proclaim himself Emperor. The Kings of Carthage slowly lost their Mediterranean conquests, but their vast maritime and commercial power assured their survival, even in the face of Muslim expansion. The blood of Gelimer yearns for revenge and remembers the great King's last words: Roma delenda est...;;;;;;;;;;;;;x
hist_seleukos;Blood of Seleukos;;;;;;;;;;;;;x
hist_seleukos_desc;Seleukos I Nikator, blood of Apollo, built an Empire and his descendants squandered it. The Seleukidai came close to extinction but the young Antiochus XIII Soter defeated Tigranes near Antiocheia ad Taurus in 83BCE, sparkling the beginning of a Seleukid Renaissance. Antiochus XIII Soter brought Tigranes's Armenian Empire to its knees, then after a series of successful campaigns in the East, he had himself proclaimed a second Alexandros after a triumphal entry into Seleukeia on the Tigris, the ancient capital of Arche Seleukeia. The Seleukid Renaissance ended in 116CE when Antiochus XVI Epiphanes bent the knee before a victorious Trajan and accepted Roman sovereignty. Seleukid Syria survived as a Roman vassal and later became a buffer state between the Romans and Islam. The blood of divine Seleukos is restless and wishes its glory restored!;;;;;;;;;;;;;x
hist_sassanid;Blood of Sassan;;;;;;;;;;;;;x
hist_sassanid_desc;"From Estakr, Ardashir I, blood of Sassan and Darius the Achaemenid, built an Empire and swore to bring the world under the dominion of Ahura Mazda. The glory of the Realm of Light knew no equal on this world and Kings from Sindhia to the shores of the Inner Sea prostrated themselves before the glory of the Light. Yet Angra Mainyu saw fit to test the steadfastness of the Sovereigns of Light and a great darkness arose from Arabia to challenge the Realm of Ahura Mazda. It was Yazdegird III who stopped those who would destroy the Realm of Light and in 636CE at the Battle of al-Qadisiyyah Ahura Mazda emerged victorious. The Empire was saved, only to fall pray to internal dissension as the centuries weakened the blood of the Sovereigns of Light. Yet, in Estakhr, the blood of Sassan remains strong and the Lords of Light still whisper: ""With me is the Derafsh Kavian, through which I shall rule the nations.""";;;;;;;;;;;;;x
hist_julianos;Blood of Julian;;;;;;;;;;;;;x
hist_julianos_desc;"Flavius Claudius Julianus Augustus, blood of Constantine and Augustus on his mother's side, Sol Invictus made flesh and Savior of the Light, was a true philosopher-king the likes of which the Romans have never seen again. Invincible in battle, Julian humbled all who opposed him, from the barbaric Alamanni and Franks to the Sassanids of Persia. His complete victory over the Christian Infidels and Sacred policies of Purification of the Eastern Empire were an inspiration for many Emperors to come, as Christianity and other barbaric cults were humbled by the Invincible Light of Sol. Although his descendants lost the throne, Aurelian II, the True Restorer of the World, a descendant of the great Aurelian on the maternal side, managed to regain it and on the 25th of December 932CE, the very date of the Dies Natalis Sol Invicti, the Birthday of Sol Invictus, he entered Constantinople in triumph and restored the blood of Julian to its rightful place of Glory. The Sun Emperors of Constantinople dedicate their rule to ""Inventori Lucis Soli Invicto Augusto"" - to the Creator of Light, Sol Invictus Augustus, and await his return, for the Sun will be made flesh once more in the very person of the Emperor and the Light shall banish the Darkness from the world of Man!";;;;;;;;;;;;;x
hist_agiad;Blood of Agis;;;;;;;;;;;;;x
